Year,Incident,HourlyNotionalCost,FinalDescription,Animal,OriginofCall,PropertyType,PropertyCategory,RescueType,Ward,Borough,Street
2009,Special Service,255,Redacted,Bird,landline,Tree scrub ,Outdoor,below ground,St. James's,Westminster,Lisle Street
2009,Special Service,255,Redacted,Bird,landline,Park ,Outdoor,below ground,Stonebridge,Brent,Bridge Road
2009,Special Service,260,Redacted,Bird,landline,House - single occupancy ,Dwelling,below ground,Lower Edmonton,Enfield,Hendon Road
2009,Special Service,260,Redacted,Bird,landline,Multi-Storey car park,Non Residential,below ground,Uxbridge South,Hillingdon,Belmont Road
2009,Special Service,260,Redacted,Bird,landline,House - single occupancy ,Dwelling,below ground,Jubilee,Enfield,Cuckoo Hall Lane
2009,Special Service,260,BIRD TRAPPED IN DRAINPIPE,Bird,mobile,Pipe or drain ,Outdoor Structure,below ground,Lesnes Abbey,Bexley,New Road
2009,Special Service,260,ASSIST police WITH DUCKLINGS IN DRAIN,Bird,police,Other outdoor location ,Outdoor,below ground,West End,Westminster,Mount Row
2010,Special Service,260,PIGEON TRAPPED ON BEHIND FIREPLACE,Bird,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,below ground,Brooklands,Havering,Norfolk Road
2010,Special Service,260,ASSIST RSPCA,Bird,landline,Other outdoor location ,Outdoor,below ground,Hampstead Town,Camden,Frognal Rise
2010,Special Service,260,DUCKLINGS STUCK IN DRAIN,Bird,mobile,Other outdoor location ,Outdoor,below ground,White Hart Lane,Haringey,Creighton Road
2010,Special Service,260,DUCKLING STUCK IN DRAIN,Bird,mobile,Pipe or drain ,Outdoor Structure,below ground,Uxbridge South,Hillingdon,Windsor Street
2010,Special Service,260,DUCKLING TRAPPED IN DRAINAGE DITCH BY LAKES,Bird,landline,Lake/pond/reservoir ,Outdoor,below ground,Hampstead Town,Camden,Parliament Hill
2010,Special Service,260,DUCKLINGS STUCK DOWN DRAIN,Bird,mobile,Other retail  ,Non Residential,below ground,Edgware,Barnet,Barnet Way
2010,Special Service,260,ASSIST RSPCA WITH PIGEON TRAPPED IN NETTING,Bird,landline,"Tunnel, subway ",Outdoor Structure,below ground,West Hampstead,Camden,Kilburn High Road
2010,Special Service,260,BIRD TRAPPED IN CHIMNEY,Bird,landline,House - single occupancy ,Dwelling,below ground,Bensham Manor,Croydon,Torridge Road
2011,Special Service,260,TO ASSIST RSPCA WITH TRAPPED GULL,Bird,mobile,Purpose built office ,Non Residential,below ground,Holborn and Covent Garden,Camden,Bedford Row
2011,Special Service,260,BIRD TRAPPED IN CHIMNEY,Bird,landline,House - single occupancy ,Dwelling,below ground,Norbury Park,Croydon,Virginia Road
2011,Special Service,260,DUCKLINGS DOWN STORM DRAIN,Bird,landline,"Tunnel, subway ",Outdoor Structure,below ground,Blackwall & Cubitt Town,Tower Hamlets,Friars Mead
2011,Special Service,260,ASSIST RSPCA WITH DUCKLING TRAPPED IN DRAIN,Bird,landline,Pipe or drain ,Outdoor Structure,below ground,Regent's Park,Camden,Cambridge Gate Mews
2011,Special Service,260,PIGEON STUCK IN CHIMNEY,Bird,landline,House - single occupancy ,Dwelling,below ground,Mawneys,Havering,Linley Crescent
2011,Special Service,260,BIRD TRAPPED IN NETTING,Bird,landline,Underground car park,Non Residential,below ground,Lancaster Gate,Westminster,Queensway
2012,Special Service,260,BIRD TRAPPED IN CHIMNEY,Bird,landline,House - single occupancy ,Dwelling,below ground,Lavender Fields,Merton,Eveline Road
2012,Special Service,260,DUCKLING FALLEN DOWN DRAIN,Bird,landline,Road surface/pavement ,Outdoor,below ground,"Ham, Petersham and Richmond Riverside",Richmond upon Thames,Petersham Road
2012,Special Service,260,DUCKLINGS TRAPPED IN DRAIN,Bird,mobile,Animal harm outdoors,Outdoor,below ground,Lewisham Central,Lewisham,Waterway Avenue
2012,Special Service,260,PIGEON TRAPPED IN WIRE,Bird,mobile,Animal harm outdoors,Outdoor,below ground,Cranbrook,Redbridge,Clarence Avenue
2012,Special Service,260,ASSIST RSPCA WITH SMALL ANIMAL RESCUE,Bird,landline,Pipe or drain ,Outdoor Structure,below ground,Blackheath,Lewisham,South Row
2012,Special Service,260,ASSIST RSPCA WITH SEGULLS TRAPPED DOWN A WELL,Bird,landline,Converted office ,Non Residential,below ground,Farringdon Without,City of London,Bream's Buildings
2012,Special Service,260,DUCKLINGS STUCK IN LOCKED DRAIN,Bird,mobile,Pipe or drain ,Outdoor Structure,below ground,Wanstead,Redbridge,Wanstead Park
2012,Special Service,260,TWO DUCKLINGS STUCK IN GRID,Bird,mobile,Pipe or drain ,Outdoor Structure,below ground,Wanstead,Redbridge,Wanstead Park
2013,Special Service,290,BIRDS HEAD TRAPPED IN CAGE,Bird,mobile,House - single occupancy ,Dwelling,below ground,Downham,Lewisham,Farmfield Road
2013,Special Service,290,DUCKLINGS TRAPPED IN STORM DRAIN,Bird,landline,Animal harm outdoors,Outdoor,below ground,Seven Kings,Redbridge,Barley Lane
2013,Special Service,290,BIRD TRAPPED,Bird,mobile,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,below ground,Abbey Road,Westminster,Hamilton Terrace
2013,Special Service,290,BIRD TRAPPED IN TRAMPOLINE,Bird,mobile,Playground/Recreation area (not equipment),Outdoor,below ground,Streatham Wells,Lambeth,Albert Carr Gardens
2013,Special Service,290,PIEGEON TRAPPED IN WIRING,Bird,landline,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,below ground,Little Venice,Westminster,Hall Place
2014,Special Service,295,SMALL BIRD TRAPPED UNDER FLOOR BOARD,Bird,mobile,House - single occupancy ,Dwelling,below ground,Barkingside,Redbridge,Campbell Avenue
2014,Special Service,295,ASSIST RSPCA WITH DUCKLING STUCK IN DRAIN,Bird,landline,Pipe or drain ,Outdoor Structure,below ground,Whitefoot,Lewisham,Conisborough Crescent
2014,Special Service,295,ASSIST RSPCA WITH BIRD WITH LEG TRAPPED IN FLOODLIGHT,Bird,landline,"Roadside furniture (eg lamp posts, road signs, telegraph poles, speed cameras)",Outdoor Structure,below ground,Broad Green,Croydon,Volta Way
2014,Special Service,295,ANIMAL TRAPPED BEHIND WALL,Bird,landline,House - single occupancy ,Dwelling,below ground,Cray Valley West,Bromley,Wisley Road
2015,Special Service,298,PIDGEON TRAPPED IN CHIMNEY BREAST,Bird,landline,House - single occupancy ,Dwelling,below ground,Kelsey and Eden Park,Bromley,Uplands
2015,Special Service,298,DUCKLINGS STUCK IN DRAIN PIPE,Bird,landline,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,below ground,Frognal and Fitzjohns,Camden,Buckland Crescent
2016,Special Service,326,DUCKLINGS IN DRAIN   CALLER WILL MEET BRIGADE,Bird,mobile,Animal harm outdoors,Outdoor,below ground,LEYTONSTONE,WALTHAM FOREST,HIGH ROAD LEYTONSTONE
2016,Special Service,326,Redacted,Bird,landline,Pipe or drain ,Outdoor Structure,below ground,COPERS COPE,BROMLEY,HOWARDS CREST CLOSE
2017,Special Service,326,SWAN TRAPPED UNDER ROAD IN WATER   SWAN SANCTUARY ALREADY IN ATTENDANCE,Bird,mobile,Lake/pond/reservoir ,Outdoor,below ground,CARSHALTON CENTRAL,SUTTON,HIGH STREET
2017,Special Service,328,BIRD TRAPPED IN CHIMNEY,Bird,landline,House - single occupancy ,Dwelling,below ground,COLLEGE PARK AND OLD OAK,HAMMERSMITH AND FULHAM,HEATHSTAN ROAD
2017,Special Service,328,DUCK TRAPPED UNDER A MANHOLE COVER,Bird,mobile,Animal harm outdoors,Outdoor,below ground,Wanstead Park,REDBRIDGE,BRADING CRESCENT
2017,Special Service,328,BIRD STUCK UNDER DRAIN GRILL,Bird,mobile,Road surface/pavement ,Outdoor,below ground,EAST FINCHLEY,BARNET,SIMMS GARDENS
2017,Special Service,328,DUCKLINGS STUCK IN DRAIN     NIGHT MANAGER WILL MEET AND SHOW YOU WHERE THEY ARE  RSPCA UNABLE TO AT,Bird,landline,Pipe or drain ,Outdoor Structure,below ground,STONEBRIDGE,BRENT,GREAT CENTRAL WAY
2018,Special Service,333,TO ASSIST RSCPA WITH DUCKLING IN DRAIN OUTSIDE TENNIS CLUB AT TRAFFIC LIGHTS,Bird,landline,Animal harm outdoors,Outdoor,below ground,Wanstead Park,REDBRIDGE,BLAKE HALL ROAD
2018,Special Service,333,POSSIBLE ANIMAL TRAPPED UNDER BATH,Bird,mobile,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,below ground,CRANFORD,HOUNSLOW,ARUNDEL ROAD
2018,Special Service,333,DUCKLING FALLEN DOWN DRAIN  J/O BARNES HIGH STREET.   CALLER WILL MEET BRIGADE,Bird,mobile,Pipe or drain ,Outdoor Structure,below ground,MORTLAKE AND BARNES COMMON,RICHMOND UPON THAMES,SWAN PLACE
2019,Special Service,333,SMALL ANIMAL TRAPPED BEHIND WALL  CALLER SPEAKS LITTLE ENGLISH,Bird,mobile,House - single occupancy ,Dwelling,below ground,THAMES,BARKING AND DAGENHAM,SCRATTONS TERRACE
2019,Special Service,339,PIGEON TRAPPED BEHIND CHIMNEY,Bird,landline,House - single occupancy ,Dwelling,below ground,EAST WICKHAM,BEXLEY,MILTON ROAD
2019,Special Service,339,PARROT TRAPPED IN BASEMENT,Bird,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,below ground,CHURCH STREET,WESTMINSTER,LISSON GROVE
2019,Special Service,339,Redacted,Bird,landline,House - single occupancy ,Dwelling,below ground,CHASE,ENFIELD,GOAT LANE
2019,Special Service,339,DUCKLING FALLEN INTO DRAIN   CALLER WILL LIASE AT LOCATION,Bird,mobile,Road surface/pavement ,Outdoor,below ground,THAMESMEAD EAST,BEXLEY,BAZALGETTE WAY TO NORMAN ROAD FP2
2019,Special Service,339,BIRD TRAPPED UNDER FLOORING,Bird,mobile,House - single occupancy ,Dwelling,below ground,CHAPEL END,WALTHAM FOREST,FULBOURNE ROAD
2019,Special Service,339,ANIMAL TRAPPED IN CHIMNEY,Bird,landline,House - single occupancy ,Dwelling,below ground,LOWER EDMONTON,ENFIELD,BOUNCES ROAD
2019,Special Service,339,PIGEON TRAPPED IN PIT,Bird,mobile,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,below ground,HOLBORN AND COVENT GARDEN,CAMDEN,NORTHINGTON STREET
2019,Special Service,339,ASSIST RSPCA WITH BIRD STUCK IN TREE,Bird,mobile,Common external bin storage area,Outdoor Structure,below ground,HOLBORN AND COVENT GARDEN,CAMDEN,NORTHINGTON STREET
2019,Special Service,339,Redacted,Bird,landline,Community centre/Hall ,Non Residential,below ground,ELTHAM NORTH,GREENWICH,ELTHAM HIGH STREET
2019,Special Service,339,BIRD TRAPPED IN NETTING,Bird,mobile,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,below ground,THE WRYTHE,SUTTON,WRYTHE LANE
2020,Special Service,346,DUCKS TRAPPED IN DRAIN,Bird,mobile,Pipe or drain ,Outdoor Structure,below ground,BRIDGE,REDBRIDGE,CHAPELMOUNT ROAD
2020,Special Service,346,PIGEON STUCK IN CHIMNEY,Bird,mobile,House - single occupancy ,Dwelling,below ground,TUDOR,KINGSTON UPON THAMES,PARK ROAD
2020,Special Service,346,ASSIST RSPCA WITH GULL,Bird,mobile,Vehicle Repair Workshop,Non Residential,below ground,SOUTHBURY,ENFIELD,CROWN ROAD
2020,Special Service,346,RUNNING CALL TO CROW TRAPPED IN CHIMNEY,Bird,landline,House - single occupancy ,Dwelling,below ground,PENGE AND CATOR,BROMLEY,ALEXANDRA ROAD
2020,Special Service,346,DUCKLINGS TRAPPED IN GROOVE,Bird,mobile,House - single occupancy ,Dwelling,below ground,TOWN,HAMMERSMITH AND FULHAM,PARSONS GREEN
2020,Special Service,346,BIRD TRAPPED IN CHIMNEY,Bird,mobile,House - single occupancy ,Dwelling,below ground,PENGE AND CATOR,BROMLEY,ALEXANDRA ROAD
2020,Special Service,346,Redacted,Bird,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,below ground,FULHAM REACH,HAMMERSMITH AND FULHAM,RAINVILLE ROAD
2020,Special Service,346,BIRD TRAPPED IN CHIMNEY,Bird,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,below ground,MOTTINGHAM AND CHISLEHURST NORTH,BROMLEY,DUNKERY ROAD
2020,Special Service,346,BIRD TRAPPED IN CHIMMNEY,Bird,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,below ground,MOTTINGHAM AND CHISLEHURST NORTH,BROMLEY,DUNKERY ROAD
2020,Special Service,346,TO ASSIST RSPCA WITH BIRD OF PREY TRAPPED BEHIND CUPBOARD,Bird,mobile,Hospital ,Non Residential,below ground,FOREST,WALTHAM FOREST,WHIPPS CROSS ROAD
2021,Special Service,346,BIRDS TRAPPED IN BASKETBALL COURT CALLER IS ON A BIKE AND WILL MEET YOU AND DIRECT YOU FROM THE LOCA,Bird,mobile,Playground/Recreation area (not equipment),Outdoor,below ground,FINSBURY PARK,ISLINGTON,CORKER WALK
2021,Special Service,352,ASSIST LIFT ENGINEER WITH SMALL ANIMAL RESCUE,Bird,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,below ground,HYDE PARK,WESTMINSTER,HERMITAGE STREET
2021,Special Service,352,Redacted,Bird,mobile,Tree scrub ,Outdoor,below ground,BEDDINGTON NORTH,SUTTON,BLOXWORTH CLOSE
2021,Special Service,352,DUCKLINGS STUCK IN THE DRAIN,Bird,mobile,Pipe or drain ,Outdoor Structure,below ground,HENDON,BARNET,ST JOSEPHS GROVE
2021,Special Service,352,DUCKLING TRAPPED IN DRAIN,Bird,mobile,Pipe or drain ,Outdoor Structure,below ground,TOWN,ENFIELD,ST ANDREWS ROAD
2021,Special Service,352,POSSIBLY A BIRD STUCK IN CHIMNEY,Bird,mobile,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,below ground,HENDON,BARNET,CHAPEL WALK
2021,Special Service,352,SEAGULL TRAPPED IN GUTTERING,Bird,mobile,Animal harm outdoors,Outdoor,below ground,LANSBURY,TOWER HAMLETS,DEE STREET
2021,Special Service,352,ASSIST RSPCA WITH A DUCKLING TRAPPED IN DRAIN,Bird,mobile,Road surface/pavement ,Outdoor,below ground,CANBURY,KINGSTON UPON THAMES,PARK ROAD
2021,Special Service,352,Redacted,Bird,landline,Road surface/pavement ,Outdoor,below ground,STANLEY,KENSINGTON AND CHELSEA,SYDNEY STREET
2021,Special Service,352,Redacted,Bird,landline,Road surface/pavement ,Outdoor,below ground,STANLEY,KENSINGTON AND CHELSEA,BURNSALL STREET
2021,Special Service,352,BIRD TRAPPED IN CHIMNEY,Bird,mobile,House - single occupancy ,Dwelling,below ground,BELVEDERE,BEXLEY,UPPER ABBEY ROAD
2009,Special Service,255,Redacted,Bird,landline,Domestic garden (vegetation not equipment) ,Outdoor,from height,Hylands,Havering,Albany Road
2009,Special Service,255,Redacted,Bird,mobile,Wasteland ,Outdoor,from height,Larkhall,Lambeth,Deeley Road
2009,Special Service,255,Redacted,Bird,landline,Single shop ,Non Residential,from height,Purley,Croydon,High Street
2009,Special Service,255,Redacted,Bird,mobile,Tree scrub ,Outdoor,from height,Osterley and Spring Grove,Hounslow,Great West Road
2009,Special Service,255,Redacted,Bird,landline,House - single occupancy ,Dwelling,from height,Hale End and Highams Park,Waltham Forest,Hale End Road
2009,Special Service,255,Redacted,Bird,mobile,House - single occupancy ,Dwelling,from height,Thames,Barking and Dagenham,Shaw Avenue
2009,Special Service,255,Redacted,Bird,mobile,Railway building - other,Non Residential,from height,Canning Town South,Newham,Silvertown Way
2009,Special Service,255,Redacted,Bird,landline,Other retail  ,Non Residential,from height,Clapham Common,Lambeth,Abbeville Road
2009,Special Service,255,Redacted,Bird,landline,House - single occupancy ,Dwelling,from height,West Drayton,Hillingdon,Station Road
2009,Special Service,255,Redacted,Bird,landline,House - single occupancy ,Dwelling,from height,Green Street West,Newham,Westbury Road
2009,Special Service,255,Redacted,Bird,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Fairfield,Croydon,Coombe Road
2009,Special Service,255,Redacted,Bird,mobile,Multi-Storey car park,Non Residential,from height,Grove,Kingston upon Thames,Lady Booth Road
2009,Special Service,255,Redacted,Bird,landline,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,from height,St. Pancras and Somers Town,Camden,Chalton Street
2009,Special Service,255,Redacted,Bird,mobile,Woodland/forest - broadleaf/hardwood ,Outdoor,from height,St. Pancras and Somers Town,Camden,Chalton Street
2009,Special Service,260,Redacted,Bird,landline,House - single occupancy ,Dwelling,from height,Stockwell,Lambeth,Burnley Road
2009,Special Service,260,Redacted,Bird,landline,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Clapham Common,Lambeth,St. Alphonsus Road
2009,Special Service,260,Redacted,Bird,mobile,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,from height,Enfield Highway,Enfield,Exeter Road
2009,Special Service,260,Redacted,Bird,landline,Other outdoor location ,Outdoor,from height,St. Peter's,Islington,Britannia Row
2009,Special Service,260,Redacted,Bird,landline,Warehouse ,Non Residential,from height,Homerton,Hackney,Collent Street
2009,Special Service,260,Redacted,Bird,landline,Other outdoor location ,Outdoor,from height,East Sheen,Richmond upon Thames,Portman Avenue
2009,Special Service,260,Redacted,Bird,landline,House - single occupancy ,Dwelling,from height,Edmonton Green,Enfield,Fraser Road
2009,Special Service,260,Redacted,Bird,other,Restaurant/cafe,Non Residential,from height,Grange,Enfield,The Town
2009,Special Service,260,Redacted,Bird,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,from height,Underhill,Barnet,Dollis Valley Way
2009,Special Service,260,Redacted,Bird,landline,House - single occupancy ,Dwelling,from height,Hampton,Richmond upon Thames,Linden Road
2009,Special Service,260,Redacted,Bird,landline,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,from height,Dormers Wells,Ealing,Fleming Road
2009,Special Service,260,Redacted,Bird,landline,House - single occupancy ,Dwelling,from height,Cranbrook,Redbridge,Wanstead Park Road
2009,Special Service,260,Redacted,Bird,landline,Bridge,Outdoor Structure,from height,Enfield Lock,Enfield,South Ordnance Road
2009,Special Service,260,Redacted,Bird,landline,Vehicle Repair Workshop,Non Residential,from height,Heathrow Villages,Hillingdon,Northern Perimeter Road
2009,Special Service,260,Redacted,Bird,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,from height,Underhill,Barnet,Dollis Valley Way
2009,Special Service,260,Redacted,Bird,landline,Tree scrub ,Outdoor,from height,Grove,Kingston upon Thames,Clarence Street
2009,Special Service,260,Redacted,Bird,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,from height,Downham,Lewisham,Swiftsden Way
2009,Special Service,260,Redacted,Bird,landline,Park ,Outdoor,from height,Brockley,Lewisham,Oscar Street
2009,Special Service,260,Redacted,Bird,mobile,House - single occupancy ,Dwelling,from height,East Finchley,Barnet,Manor Park Road
2009,Special Service,260,Redacted,Bird,landline,House - single occupancy ,Dwelling,from height,Selhurst,Croydon,Gloucester Road
2009,Special Service,260,Redacted,Bird,landline,Large supermarket ,Non Residential,from height,Grove,Kingston upon Thames,Adams Walk
2009,Special Service,260,Redacted,Bird,landline,Large supermarket ,Non Residential,from height,Grove,Kingston upon Thames,Adams Walk
2009,Special Service,260,Redacted,Bird,landline,Restaurant/cafe,Non Residential,from height,Grange,Enfield,The Town
2009,Special Service,260,Redacted,Bird,landline,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,from height,Cantelowes,Camden,Stratford Villas
2009,Special Service,260,Redacted,Bird,mobile,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,from height,Lea Bridge,Waltham Forest,Markhouse Road
2009,Special Service,260,Redacted,Bird,landline,Other outdoor location ,Outdoor,from height,Dormers Wells,Ealing,Fleming Road
2009,Special Service,260,Redacted,Bird,mobile,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,from height,Carshalton Central,Sutton,Mill Lane
2009,Special Service,260,Redacted,Bird,landline,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,from height,Hyde Park,Westminster,St. Michaels Street
2009,Special Service,260,INJURED PIGEON TRAPPED ON LEDGE,Bird,landline,police station ,Non Residential,from height,Ilford Town,Redbridge,High Road
2009,Special Service,260,BIRD TRAPPED IN NEETING,Bird,mobile,Other outdoor location ,Outdoor,from height,East Acton,Ealing,East Acton Lane
2009,Special Service,260,BIRD TRAPPED IN GUTTERING,Bird,mobile,House - single occupancy ,Dwelling,from height,Brooklands,Havering,Rush Green Gardens
2009,Special Service,260,CROW STUCK IN WIRING,Bird,landline,Tree scrub ,Outdoor,from height,Shirley North,Croydon,Orchard Way
2009,Special Service,260,BIRD TRAPPED ON WALL BY NETTING,Bird,mobile,House - single occupancy ,Dwelling,from height,Crouch End,Haringey,Hatherley Gardens
2009,Special Service,260,PIGEON TRAPPED IN FISHING LINE AND HANGING FROM TREE,Bird,landline,Woodland/forest - conifers/softwood ,Outdoor,from height,Broad Green,Croydon,Oakfield Road
2009,Special Service,260,BIRD TRAPPED IN SKY LIGHT,Bird,mobile,House - single occupancy ,Dwelling,from height,Shaftesbury,Wandsworth,Stormont Road
2009,Special Service,260,PIDGEON TRAPPED ON BALCONY,Bird,landline,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Island Gardens,Tower Hamlets,Crews Street
2009,Special Service,260,BIRD TRAPPED IN NETTING,Bird,mobile,House - single occupancy ,Dwelling,from height,St. Ann's,Haringey,Green Lanes
2009,Special Service,260,ASSIST RSPCA WITH PIGEON TRAPPED IN RAILINGS,Bird,mobile,Railings,Outdoor Structure,from height,Caledonian,Islington,Burness Close
2009,Special Service,260,PIGEON TANGLED IN WIRE AT FIRST FLOOR LEVEL,Bird,landline,House - single occupancy ,Dwelling,from height,Enfield Lock,Enfield,Raynton Road
2009,Special Service,260,ASSIST RSPCA WITH PIDGEON TRAPPED IN WIRE IN TREE,Bird,landline,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Totteridge,Barnet,Dollis Valley Way
2009,Special Service,260,PIGEON HANGING FROM WIRING,Bird,landline,Cables ,Outdoor Structure,from height,Fairfield,Croydon,Church Street
2009,Special Service,260,PIGEON STUCK ON ROOF AREA,Bird,landline,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,from height,Charlton,Greenwich,Wyndcliff Road
2009,Special Service,260,HOUSE MARTIN TAPPED IN GRATE,Bird,landline,House - single occupancy ,Dwelling,from height,Alperton,Brent,Egerton Road
2009,Special Service,260,PIGEON TRAPPED BEHIND SHOP SIGN,Bird,mobile,Large supermarket ,Non Residential,from height,New Cross,Lewisham,New Cross Road
2009,Special Service,260,RUNNING CALL TO ASSIST RSPCA WITH TRAPPED GULL IN NETTING,Bird,landline,DIY Warehouse ,Non Residential,from height,St. James,Kingston upon Thames,Burlington Road
2009,Special Service,260,BIRD TRAPPED IN NETTING,Bird,mobile,Multi-Storey car park,Non Residential,from height,Grove,Kingston upon Thames,Fairfield Road
2009,Special Service,260,DISTRESSED PARROT STUCK IN TREE,Bird,landline,Wasteland ,Outdoor,from height,Markhouse,Waltham Forest,Gosport Road
2009,Special Service,260,BIRD TRAPPED IN NETTING,Bird,mobile,Shelter ,Outdoor Structure,from height,Grove,Kingston upon Thames,Wheatfield Way
2009,Special Service,260,BIRD TRAPPED IN NETTING,Bird,mobile,Multi-Storey car park,Non Residential,from height,Grove,Kingston upon Thames,Wheatfield Way
2009,Special Service,260,GULL TRAPPED IN NETTING,Bird,mobile,Cycle path/public footpath/bridleway ,Outdoor,from height,Canons,Harrow,Winton Gardens
2009,Special Service,260,BIRD WITH WINGS TRAPPED IN NETTING,Bird,mobile,Shopping Centre ,Non Residential,from height,Grove,Kingston upon Thames,Wheatfield Way
2009,Special Service,260,BIRD TRAPPED IN EXTRACTOR FAN,Bird,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,from height,Endlebury,Waltham Forest,The Ridgeway
2010,Special Service,260,PIGEON TRAPPED IN MESH,Bird,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,West Putney,Wandsworth,Tildesley Road
2010,Special Service,260,RUNNING CALL TO BIRD TRAPPED IN TREE,Bird,landline,Railings,Outdoor Structure,from height,Woodside,Croydon,Spring Lane
2010,Special Service,260,PIGEON STUCK IN NETTING,Bird,mobile,Other outdoor structures ,Outdoor Structure,from height,Ilford Town,Redbridge,Hainault Street
2010,Special Service,260,RUNNING CALL TO ASSIST RSPCA WITH RELEASE OF BIRD,Bird,landline,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Northfield,Ealing,Sterling Place
2010,Special Service,260,BIRD TRAPPED IN NETTING,Bird,mobile,Single shop ,Non Residential,from height,Noel Park,Haringey,High Road
2010,Special Service,260,Redacted,Bird,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,from height,Ealing Broadway,Ealing,Uxbridge Road
2010,Special Service,260,PIGEON TRAPPED IN WIRE ON BALCONY,Bird,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,from height,Shirly South,Croydon,Bramble Close
2010,Special Service,260,ASSIST RSPCA WITH DUCK HANGING FROM TREE OVER LAKE,Bird,landline,Tree scrub ,Outdoor,from height,Merton Park,Merton,Cannon Hill Lane
2010,Special Service,260,ASSIST RSPCA WITH PIGEON TRAPPED IN NETTING UNDER RAILWAY ARCHES,Bird,landline,Bridge,Outdoor Structure,from height,Gipsy Hill,Lambeth,Norwood High Street
2010,Special Service,260,SMALL ANIMAL RESCUE,Bird,landline,House - single occupancy ,Dwelling,from height,Carshalton Central,Sutton,Salisbury Road
2010,Special Service,260,RUNNING CALL TO BIRD CAUGHT IN MESH,Bird,landline,Converted office ,Non Residential,from height,West End,Westminster,Greek Street
2010,Special Service,260,ASSIST RSPCA WITH TRAPPED PIGEON,Bird,landline,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Bensham Manor,Croydon,Langdale Road
2010,Special Service,260,ASSIST RSPCA WITH PIGEON TRAPPED IN NETTING,Bird,landline,Purpose built office ,Non Residential,from height,St. James's,Westminster,Northumberland Avenue
2010,Special Service,260,PIDGEON TRAPPED IN AIR VENT,Bird,mobile,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,from height,White Hart Lane,Haringey,Topham Square
2010,Special Service,260,PIGEON TRAPPED IN MIDDLE OF RAILWAY BRIDGE,Bird,landline,Railway ,Outdoor,from height,Wallington North,Sutton,Woodcote Road
2010,Special Service,260,SEAGULL TRAPPED BEHIND SCAFFOLDING,Bird,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Holloway,Islington,Biddestone Road
2010,Special Service,260,PIGEON TRAPPED BETWEEN SHOP SIGN,Bird,landline,Single shop ,Non Residential,from height,East Barnet,Barnet,East Barnet Road
2010,Special Service,260,RUNNING CALL TO PIGEON TRAPPED,Bird,landline,House - single occupancy ,Dwelling,from height,Muswell Hill,Haringey,Park Avenue South
2010,Special Service,260,ASSIST RSPCA WITH TRAPPED BIRDS,Bird,mobile,Road surface/pavement ,Outdoor,from height,Pinner South,Harrow,Chapel Lane
2010,Special Service,260,PARROT CAUGHT IN ROOF TILE,Bird,landline,House - single occupancy ,Dwelling,from height,Sydenham,Lewisham,Spring Hill
2010,Special Service,260,BIRD TRAPPED IN HOUSE,Bird,landline,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,West Hampstead,Camden,Mill Lane
